IDCliente;NombreCliente;Ciudad;Pais;Latitud;Longitud;IDProducto;NombreProducto;CostoUSD;Categoria;Margen;CodigoPedido;FechaVenta;Unidades;CostoTotalUSD;VentaUSD;VentaTotalUSD
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;IP4;Iphone 4;1400;Gama Media;0,35;169583;2010-01-08;46;64400;1890;86940
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;IP5;Iphone 5;1600;Gama Media;0,35;169584;2010-01-08;42;67200;2160;90720
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;IP6;Iphone 6;1800;Gama Alta;0,45;169585;2010-01-08;52;93600;2610;135720
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;GS1;Galaxy S1;850;Gama Baja;0,25;169586;2010-01-08;76;64600;1062,5;80750
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;GS2;Galaxy S2;925;Gama Baja;0,25;169587;2010-01-08;38;35150;1156,25;43937,5
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;GS3;Galaxy S3;1000;Gama Media;0,35;169588;2010-01-08;74;74000;1350;99900
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;GS4;Galaxy S4;1075;Gama Media;0,35;169589;2010-01-08;44;47300;1451,25;63855
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;GS5;Galaxy S5;1150;Gama Alta;0,45;169590;2010-01-08;50;57500;1667,5;83375
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;GS6;Galaxy S6;1225;Gama Alta;0,45;169591;2010-01-08;56;68600;1776,25;99470
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;MG;Motorola G;780;Gama Media;0,35;169592;2010-01-08;76;59280;1053;80028
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;MX;Motorola X;548;Gama Media;0,35;169593;2010-01-08;78;42744;739,8;57704,4
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;SXU;Sony Xperia U;999;Gama Alta;0,45;169594;2010-01-08;66;65934;1448,55;95604,3
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;AO1;Alcatel One;700;Gama Baja;0,25;169595;2010-01-08;76;53200;875;66500
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;LGP;LG Pro;358;Gama Alta;0,45;169596;2010-01-08;56;20048;519,1;29069,6
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;IP2;Iphone 2;1000;Gama Baja;0,25;169597;2010-01-08;104;104000;1250;130000
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;IP3;Iphone 3;1200;Gama Baja;0,25;169598;2010-01-08;74;88800;1500;111000
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;IP4;Iphone 4;1400;Gama Media;0,35;169599;2010-01-08;106;148400;1890;200340
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;IP5;Iphone 5;1600;Gama Media;0,35;169600;2010-01-08;98;156800;2160;211680
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;IP6;Iphone 6;1800;Gama Alta;0,45;169601;2010-01-08;74;133200;2610;193140
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;GS1;Galaxy S1;850;Gama Baja;0,25;169602;2010-01-08;110;93500;1062,5;116875
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;GS2;Galaxy S2;925;Gama Baja;0,25;169603;2010-01-08;124;114700;1156,25;143375
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;GS3;Galaxy S3;1000;Gama Media;0,35;169604;2010-01-08;98;98000;1350;132300
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;GS4;Galaxy S4;1075;Gama Media;0,35;169605;2010-01-08;102;109650;1451,25;148027,5
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;GS5;Galaxy S5;1150;Gama Alta;0,45;169606;2010-01-08;68;78200;1667,5;113390
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;GS6;Galaxy S6;1225;Gama Alta;0,45;169607;2010-01-08;68;83300;1776,25;120785
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;MG;Motorola G;780;Gama Media;0,35;169608;2010-01-08;92;71760;1053;96876
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;MX;Motorola X;548;Gama Media;0,35;169609;2010-01-08;108;59184;739,8;79898,4
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;SXU;Sony Xperia U;999;Gama Alta;0,45;169610;2010-01-08;92;91908;1448,55;133266,6
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;AO1;Alcatel One;700;Gama Baja;0,25;169611;2010-01-08;120;84000;875;105000
111225;Jumbo/Easy;Buenos Aires;Argentina;-34,574376;-58,426387;LGP;LG Pro;358;Gama Alta;0,45;169612;2010-01-08;66;23628;519,1;34260,6
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;IP2;Iphone 2;1000;Gama Baja;0,25;169613;2010-01-08;92;92000;1250;115000
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;IP3;Iphone 3;1200;Gama Baja;0,25;169614;2010-01-08;72;86400;1500;108000
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;IP4;Iphone 4;1400;Gama Media;0,35;169615;2010-01-08;60;84000;1890;113400
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;IP5;Iphone 5;1600;Gama Media;0,35;169616;2010-01-08;68;108800;2160;146880
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;IP6;Iphone 6;1800;Gama Alta;0,45;169617;2010-01-08;54;97200;2610;140940
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;GS1;Galaxy S1;850;Gama Baja;0,25;169618;2010-01-08;60;51000;1062,5;63750
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;GS2;Galaxy S2;925;Gama Baja;0,25;169619;2010-01-08;106;98050;1156,25;122562,5
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;GS3;Galaxy S3;1000;Gama Media;0,35;169620;2010-01-08;78;78000;1350;105300
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;GS4;Galaxy S4;1075;Gama Media;0,35;169621;2010-01-08;92;98900;1451,25;133515
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;GS5;Galaxy S5;1150;Gama Alta;0,45;169622;2010-01-08;92;105800;1667,5;153410
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;GS6;Galaxy S6;1225;Gama Alta;0,45;169623;2010-01-08;84;102900;1776,25;149205
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;MG;Motorola G;780;Gama Media;0,35;169624;2010-01-08;94;73320;1053;98982
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;MX;Motorola X;548;Gama Media;0,35;169625;2010-01-08;86;47128;739,8;63622,8
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;SXU;Sony Xperia U;999;Gama Alta;0,45;169626;2010-01-08;100;99900;1448,55;144855
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;AO1;Alcatel One;700;Gama Baja;0,25;169627;2010-01-08;92;64400;875;80500
161229;Unilago;Bogotá;Colombia;-4,665357;-74,058246;LGP;LG Pro;358;Gama Alta;0,45;169628;2010-01-08;94;33652;519,1;48795,4
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;IP2;Iphone 2;1000;Gama Baja;0,25;169629;2010-01-08;54;54000;1250;67500
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;IP3;Iphone 3;1200;Gama Baja;0,25;169630;2010-01-08;54;64800;1500;81000
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;IP4;Iphone 4;1400;Gama Media;0,35;169631;2010-01-08;52;72800;1890;98280
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;IP5;Iphone 5;1600;Gama Media;0,35;169632;2010-01-08;70;112000;2160;151200
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;IP6;Iphone 6;1800;Gama Alta;0,45;169633;2010-01-08;56;100800;2610;146160
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;GS1;Galaxy S1;850;Gama Baja;0,25;169634;2010-01-08;58;49300;1062,5;61625
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;GS2;Galaxy S2;925;Gama Baja;0,25;169635;2010-01-08;52;48100;1156,25;60125
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;GS3;Galaxy S3;1000;Gama Media;0,35;169636;2010-01-08;48;48000;1350;64800
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;GS4;Galaxy S4;1075;Gama Media;0,35;169637;2010-01-08;36;38700;1451,25;52245
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;GS5;Galaxy S5;1150;Gama Alta;0,45;169638;2010-01-08;60;69000;1667,5;100050
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;GS6;Galaxy S6;1225;Gama Alta;0,45;169639;2010-01-08;34;41650;1776,25;60392,5
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;MG;Motorola G;780;Gama Media;0,35;169640;2010-01-08;70;54600;1053;73710
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;MX;Motorola X;548;Gama Media;0,35;169641;2010-01-08;44;24112;739,8;32551,2
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;SXU;Sony Xperia U;999;Gama Alta;0,45;169642;2010-01-08;38;37962;1448,55;55044,9
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;AO1;Alcatel One;700;Gama Baja;0,25;169643;2010-01-08;66;46200;875;57750
181241;Ripley;Concepción;Chile;-33,401107;-70,578392;LGP;LG Pro;358;Gama Alta;0,45;169644;2010-01-08;38;13604;519,1;19725,8
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;IP2;Iphone 2;1000;Gama Baja;0,25;169645;2010-01-08;110;110000;1250;137500
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;IP3;Iphone 3;1200;Gama Baja;0,25;169646;2010-01-08;112;134400;1500;168000
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;IP4;Iphone 4;1400;Gama Media;0,35;169647;2010-01-08;120;168000;1890;226800
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;IP5;Iphone 5;1600;Gama Media;0,35;169648;2010-01-08;82;131200;2160;177120
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;IP6;Iphone 6;1800;Gama Alta;0,45;169649;2010-01-08;102;183600;2610;266220
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;GS1;Galaxy S1;850;Gama Baja;0,25;169650;2010-01-08;72;61200;1062,5;76500
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;GS2;Galaxy S2;925;Gama Baja;0,25;169651;2010-01-08;80;74000;1156,25;92500
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;GS3;Galaxy S3;1000;Gama Media;0,35;169652;2010-01-08;96;96000;1350;129600
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;GS4;Galaxy S4;1075;Gama Media;0,35;169653;2010-01-08;100;107500;1451,25;145125
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;GS5;Galaxy S5;1150;Gama Alta;0,45;169654;2010-01-08;104;119600;1667,5;173420
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;GS6;Galaxy S6;1225;Gama Alta;0,45;169655;2010-01-08;106;129850;1776,25;188282,5
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;MG;Motorola G;780;Gama Media;0,35;169656;2010-01-08;88;68640;1053;92664
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;MX;Motorola X;548;Gama Media;0,35;169657;2010-01-08;102;55896;739,8;75459,6
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;SXU;Sony Xperia U;999;Gama Alta;0,45;169658;2010-01-08;110;109890;1448,55;159340,5
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;AO1;Alcatel One;700;Gama Baja;0,25;169659;2010-01-08;74;51800;875;64750
